Timestamp,AccelX,AccelY,AccelZ,Temperature
602,-0.460,-0.227,9.917,-127.00
606,-0.460,-0.225,9.919,-127.00
609,-0.460,-0.225,9.922,-127.00
613,-0.460,-0.227,9.929,-127.00
620,-0.467,-0.227,9.926,-127.00
624,-0.464,-0.227,9.926,-127.00
628,-0.460,-0.230,9.924,-127.00
632,-0.460,-0.230,9.924,-127.00
636,-0.460,-0.225,9.926,-127.00
640,-0.457,-0.225,9.934,-127.00
643,-0.457,-0.220,9.938,-127.00
647,-0.455,-0.223,9.936,-127.00
651,-0.455,-0.223,9.931,-127.00
655,-0.455,-0.223,9.926,-127.00
659,-0.455,-0.223,9.919,-127.00
662,-0.457,-0.223,9.922,-127.00
666,-0.460,-0.225,9.922,-127.00
670,-0.460,-0.227,9.922,-127.00
674,-0.462,-0.227,9.924,-127.00
678,-0.462,-0.227,9.919,-127.00
683,-0.462,-0.230,9.922,-127.00
687,-0.460,-0.230,9.922,-127.00
691,-0.462,-0.227,9.924,-127.00
694,-0.462,-0.230,9.922,-127.00
698,-0.462,-0.225,9.919,-127.00
702,-0.460,-0.230,9.922,-127.00
706,-0.460,-0.227,9.919,-127.00
710,-0.460,-0.227,9.919,-127.00
713,-0.460,-0.227,9.919,-127.00
717,-0.464,-0.230,9.919,-127.00
721,-0.464,-0.230,9.919,-127.00
725,-0.467,-0.227,9.924,-127.00
729,-0.467,-0.227,9.922,-127.00
732,-0.464,-0.230,9.919,-127.00
736,-0.462,-0.230,9.919,-127.00
743,-0.462,-0.227,9.922,-127.00
748,-0.464,-0.227,9.922,-127.00
752,-0.460,-0.223,9.919,-127.00
755,-0.460,-0.220,9.917,-127.00
759,-0.457,-0.223,9.919,-127.00
763,-0.455,-0.223,9.922,-127.00
767,-0.457,-0.223,9.924,-127.00
771,-0.457,-0.227,9.926,-127.00
774,-0.460,-0.227,9.926,-127.00
778,-0.455,-0.225,9.922,-127.00
782,-0.457,-0.225,9.924,-127.00
786,-0.462,-0.227,9.926,-127.00
790,-0.464,-0.230,9.924,-127.00
793,-0.464,-0.232,9.922,-127.00
797,-0.464,-0.227,9.919,-127.00
801,-0.467,-0.230,9.922,-127.00
806,-0.464,-0.227,9.924,-127.00
810,-0.462,-0.225,9.926,-127.00
814,-0.464,-0.225,9.934,-127.00
818,-0.467,-0.225,9.936,-127.00
822,-0.464,-0.225,9.936,-127.00
825,-0.464,-0.225,9.938,-127.00
829,-0.469,-0.227,9.934,-127.00
833,-0.469,-0.227,9.931,-127.00
837,-0.467,-0.230,9.931,-127.00
841,-0.467,-0.223,9.929,-127.00
844,-0.467,-0.218,9.929,-127.00
848,-0.469,-0.218,9.929,-127.00
852,-0.472,-0.220,9.929,-127.00
856,-0.469,-0.218,9.929,-127.00
860,-0.467,-0.223,9.922,-127.00
866,-0.469,-0.223,9.924,-127.00
871,-0.467,-0.225,9.926,-127.00
875,-0.467,-0.225,9.924,-127.00
878,-0.467,-0.227,9.926,-127.00
882,-0.462,-0.230,9.919,-127.00
886,-0.460,-0.227,9.917,-127.00
890,-0.457,-0.225,9.917,-127.00
894,-0.457,-0.232,9.919,-127.00
897,-0.457,-0.230,9.919,-127.00
901,-0.460,-0.232,9.919,-127.00
905,-0.462,-0.235,9.919,-127.00
909,-0.462,-0.230,9.917,-127.00
913,-0.457,-0.227,9.917,-127.00
916,-0.460,-0.227,9.914,-127.00
920,-0.460,-0.230,9.917,-127.00
924,-0.462,-0.230,9.914,-127.00
929,-0.464,-0.225,9.907,-127.00
933,-0.467,-0.227,9.912,-127.00
937,-0.464,-0.225,9.912,-127.00
941,-0.460,-0.225,9.912,-127.00
945,-0.467,-0.227,9.914,-127.00
948,-0.462,-0.230,9.910,-127.00
952,-0.460,-0.227,9.912,-127.00
956,-0.455,-0.230,9.914,-127.00
960,-0.453,-0.230,9.917,-127.00
964,-0.455,-0.227,9.912,-127.00
967,-0.453,-0.225,9.907,-127.00
971,-0.450,-0.225,9.902,-127.00
975,-0.450,-0.223,9.907,-127.00
979,-0.450,-0.227,9.907,-127.00
983,-0.450,-0.230,9.900,-127.00
989,-0.455,-0.227,9.895,-127.00
994,-0.455,-0.223,9.900,-127.00
997,-0.460,-0.227,9.902,-127.00
1001,-0.460,-0.232,9.905,-127.00
1005,-0.460,-0.232,9.905,-127.00
1009,-0.460,-0.235,9.905,-127.00
1013,-0.457,-0.235,9.907,-127.00
1016,-0.460,-0.230,9.905,-127.00
1020,-0.460,-0.232,9.910,-127.00
1024,-0.462,-0.235,9.912,-127.00
1028,-0.460,-0.237,9.910,-127.00
1032,-0.457,-0.232,9.907,-127.00
1035,-0.455,-0.239,9.905,-127.00
1039,-0.453,-0.237,9.902,-127.00
1043,-0.450,-0.235,9.902,-127.00
1048,-0.455,-0.237,9.902,-127.00
1052,-0.455,-0.237,9.907,-127.00
1056,-0.455,-0.235,9.910,-127.00
1060,-0.455,-0.232,9.917,-127.00
1064,-0.455,-0.232,9.919,-127.00
1067,-0.453,-0.237,9.919,-127.00
1071,-0.453,-0.239,9.912,-127.00
1075,-0.453,-0.239,9.914,-127.00
1079,-0.450,-0.235,9.912,-127.00
1083,-0.450,-0.235,9.917,-127.00
1086,-0.448,-0.232,9.917,-127.00
1090,-0.450,-0.230,9.914,-127.00
1094,-0.450,-0.230,9.914,-127.00
1098,-0.455,-0.230,9.907,-127.00
1102,-0.457,-0.223,9.910,-127.00
1108,-0.462,-0.225,9.910,-127.00
1113,-0.464,-0.225,9.907,-127.00
1116,-0.464,-0.225,9.910,-127.00
1120,-0.464,-0.223,9.910,-127.00
1124,-0.467,-0.223,9.910,-127.00
1128,-0.469,-0.220,9.912,-127.00
1132,-0.469,-0.223,9.910,-127.00
1136,-0.469,-0.225,9.907,-127.00
1139,-0.472,-0.227,9.914,-127.00
1143,-0.472,-0.227,9.917,-127.00
1147,-0.469,-0.230,9.914,-127.00
1151,-0.469,-0.230,9.912,-127.00
1155,-0.472,-0.227,9.917,-127.00
1158,-0.472,-0.227,9.919,-127.00
1162,-0.469,-0.225,9.922,-127.00
1167,-0.472,-0.223,9.917,-127.00
1171,-0.469,-0.220,9.914,-127.00
1175,-0.464,-0.220,9.907,-127.00
1179,-0.467,-0.220,9.907,-127.00
1183,-0.467,-0.220,9.912,-127.00
1186,-0.467,-0.223,9.910,-127.00
1190,-0.467,-0.223,9.907,-127.00
1194,-0.467,-0.225,9.907,-127.00
1198,-0.467,-0.225,9.912,-127.00
1202,-0.469,-0.225,9.919,-127.00
1205,-0.464,-0.227,9.919,-127.00
1209,-0.464,-0.225,9.914,-127.00
1213,-0.464,-0.225,9.917,-127.00
1217,-0.469,-0.227,9.919,-127.00
1221,-0.469,-0.225,9.922,-127.00
1225,-0.464,-0.225,9.917,-127.00
1231,-0.467,-0.223,9.917,-127.00
1236,-0.469,-0.225,9.914,-127.00
1239,-0.467,-0.223,9.914,-127.00
1243,-0.469,-0.223,9.914,-127.00
1247,-0.462,-0.227,9.917,-127.00
1251,-0.460,-0.227,9.919,-127.00
1255,-0.462,-0.225,9.919,-127.00
1258,-0.460,-0.223,9.919,-127.00
1262,-0.457,-0.220,9.922,-127.00
1266,-0.457,-0.220,9.917,-127.00
1270,-0.460,-0.218,9.917,-127.00
1274,-0.460,-0.223,9.919,-127.00
1277,-0.464,-0.220,9.914,-127.00
1281,-0.464,-0.218,9.914,-127.00
1285,-0.469,-0.220,9.914,-127.00
1290,-0.467,-0.225,9.919,-127.00
1294,-0.469,-0.227,9.919,-127.00
1298,-0.467,-0.230,9.914,-127.00
1302,-0.462,-0.235,9.912,-127.00
1306,-0.460,-0.235,9.917,-127.00
1309,-0.457,-0.235,9.914,-127.00
1313,-0.460,-0.235,9.919,-127.00
1317,-0.460,-0.232,9.919,-127.00
1321,-0.462,-0.230,9.919,-127.00
1325,-0.462,-0.227,9.922,-127.00
1328,-0.460,-0.227,9.922,-127.00
1332,-0.460,-0.225,9.919,-127.00
1336,-0.460,-0.227,9.922,-127.00
1340,-0.455,-0.230,9.926,-127.00
1344,-0.455,-0.232,9.926,-127.00
1350,-0.457,-0.232,9.924,-127.00
1355,-0.462,-0.232,9.924,-127.00
1358,-0.462,-0.230,9.926,-127.00
1362,-0.462,-0.230,9.919,-127.00
1366,-0.462,-0.225,9.917,-127.00
1370,-0.462,-0.223,9.926,-127.00
1374,-0.460,-0.223,9.926,-127.00
1377,-0.462,-0.220,9.926,-127.00
1381,-0.460,-0.218,9.926,-127.00
1385,-0.460,-0.220,9.924,-127.00
1389,-0.460,-0.220,9.917,-127.00
